time,.data
2019/05/17/23:56:57.402770,157
2019/05/17/23:56:57.416470,157
2019/05/17/23:56:57.434677,156
2019/05/17/23:56:57.452171,156
2019/05/17/23:56:57.469736,156
2019/05/17/23:56:57.486609,156
2019/05/17/23:56:57.503609,155
2019/05/17/23:56:57.522485,155
2019/05/17/23:56:57.539253,156
2019/05/17/23:56:57.557173,156
2019/05/17/23:56:57.574921,157
2019/05/17/23:56:57.591603,156
2019/05/17/23:56:57.610067,156
2019/05/17/23:56:57.626693,158
2019/05/17/23:56:57.645019,158
2019/05/17/23:56:57.662980,161
2019/05/17/23:56:57.680680,160
2019/05/17/23:56:57.698751,160
2019/05/17/23:56:57.716768,163
2019/05/17/23:56:57.735230,162
2019/05/17/23:56:57.753346,164
2019/05/17/23:56:57.770393,164
2019/05/17/23:56:57.788599,164
2019/05/17/23:56:57.805751,165
2019/05/17/23:56:57.824028,164
2019/05/17/23:56:57.842396,163
2019/05/17/23:56:57.856676,163
2019/05/17/23:56:57.873658,162
2019/05/17/23:56:57.890630,162
2019/05/17/23:56:57.909308,161
2019/05/17/23:56:57.926419,160
2019/05/17/23:56:57.945292,159
2019/05/17/23:56:57.963043,158
2019/05/17/23:56:57.982405,158
2019/05/17/23:56:57.998869,158
2019/05/17/23:56:58.017388,157
2019/05/17/23:56:58.034575,157
2019/05/17/23:56:58.052475,159
2019/05/17/23:56:58.070466,159
2019/05/17/23:56:58.087754,160
2019/05/17/23:56:58.104762,162
2019/05/17/23:56:58.121537,162
2019/05/17/23:56:58.139377,163
2019/05/17/23:56:58.157290,162
2019/05/17/23:56:58.175577,162
2019/05/17/23:56:58.189098,163
2019/05/17/23:56:58.207449,161
2019/05/17/23:56:58.226378,161
2019/05/17/23:56:58.243390,161
2019/05/17/23:56:58.260438,160
2019/05/17/23:56:58.279463,160
2019/05/17/23:56:58.296486,159
2019/05/17/23:56:58.314600,158
2019/05/17/23:56:58.331459,158
2019/05/17/23:56:58.349528,158
2019/05/17/23:56:58.366651,159
2019/05/17/23:56:58.384864,158
2019/05/17/23:56:58.402145,158
2019/05/17/23:56:58.419349,158
2019/05/17/23:56:58.437159,158
2019/05/17/23:56:58.455803,158
2019/05/17/23:56:58.474395,159
2019/05/17/23:56:58.492455,159
2019/05/17/23:56:58.509316,159
2019/05/17/23:56:58.527642,160
2019/05/17/23:56:58.545249,159
